"county","cbsa10","cbsatype10","cntyname","cbsaname10","pop10","afact"
"county","cbsa10","cbsatype10","cntyname","2010 CBSA Name","Total Pop, 2010 census","county to cbsatype10 alloc factor"
"01101","33860","Metro","Montgomery AL","Montgomery, AL Metropolitan Statistical Area",229363,1 
"01103","19460","Metro","Morgan AL","Decatur, AL Metropolitan Statistical Area",119490,1 
"01105","99999"," ","Perry AL","99999",10591,1 
"01107","99999"," ","Pickens AL","99999",19746,1 
"01109","45980","Micro","Pike AL","Troy, AL Micropolitan Statistical Area",32899,1 
"01111","99999"," ","Randolph AL","99999",22913,1 
"01113","17980","Metro","Russell AL","Columbus, GA-AL Metropolitan Statistical Area",52947,1 
"01115","13820","Metro","St. Clair AL","Birmingham-Hoover, AL Metropolitan Statistical Area",83593,1 
"01117","13820","Metro","Shelby AL","Birmingham-Hoover, AL Metropolitan Statistical Area",195085,1 
"01119","99999"," ","Sumter AL","99999",13763,1 
"01121","45180","Micro","Talladega AL","Talladega-Sylacauga, AL Micropolitan Statistical Area",82291,1 
"01123","10760","Micro","Tallapoosa AL","Alexander City, AL Micropolitan Statistical Area",41616,1 
"01125","46220","Metro","Tuscaloosa AL","Tuscaloosa, AL Metropolitan Statistical Area",194656,1 
"01127","13820","Metro","Walker AL","Birmingham-Hoover, AL Metropolitan Statistical Area",67023,1 
"01129","99999"," ","Washington AL","99999",17581,1 
"01131","99999"," ","Wilcox AL","99999",11670,1 
"01133","99999"," ","Winston AL","99999",24484,1 
"02013","99999"," ","Aleutians East Borough AK","99999",3141,1 
"02016","99999"," ","Aleutians West Census Area AK","99999",5561,1 
"02020","11260","Metro","Anchorage Borough AK","Anchorage, AK Metropolitan Statistical Area",291826,1 
"02050","99999"," ","Bethel Census Area AK","99999",17013,1 
"02060","99999"," ","Bristol Bay Borough AK","99999",997,1 
"02068","99999"," ","Denali Borough AK","99999",1826,1 
"02070","99999"," ","Dillingham Census Area AK","99999",4847,1 
"02090","21820","Metro","Fairbanks North Star Borough AK","Fairbanks, AK Metropolitan Statistical Area",97581,1 
"02100","99999"," ","Haines Borough AK","99999",2508,1 
"02105","99999"," ","Hoonah-Angoon Census Area","99999",2150,1 
"02110","27940","Micro","Juneau Borough AK","Juneau, AK Micropolitan Statistical Area",31275,1 
"02122","99999"," ","Kenai Peninsula Borough AK","99999",55400,1 
"02130","28540","Micro","Ketchikan Gateway Borough AK","Ketchikan, AK Micropolitan Statistical Area",13477,1 
"02150","28980","Micro","Kodiak Island Borough AK","Kodiak, AK Micropolitan Statistical Area",13592,1 
"02164","99999"," ","Lake and Peninsula Borough AK","99999",1631,1 
"02170","11260","Metro","Matanuska-Susitna Borough AK","Anchorage, AK Metropolitan Statistical Area",88995,1 
"02180","99999"," ","Nome Census Area AK","99999",9492,1 
"02185","99999"," ","North Slope Borough AK","99999",9430,1 
"02188","99999"," ","Northwest Arctic Borough AK","99999",7523,1 
"02195","99999"," ","Petersburg Census Area","99999",3815,1 
"02198","99999"," ","Prince of Wales-Hyder Census Area","99999",5559,1 
"02220","99999"," ","Sitka Borough AK","99999",8881,1 
"02230","99999"," ","Skagway Municipality","99999",968,1 
"02240","99999"," ","Southeast Fairbanks Census Area AK","99999",7029,1 
"02261","99999"," ","Valdez-Cordova Census Area AK","99999",9636,1 
"02270","99999"," ","Wade Hampton Census Area AK (D)","99999",7459,1 
"02275","99999"," ","Wrangell City and Borough","99999",2369,1 
