,FIPS 1970,SMSA 1970,STATE 1970,COUNTY 1970,FIPS 1980,SMSA 1980,COUNTY 1980,STATE 1980,MSA NAME 1980,FIPS 1990,MSA 1990,COUNTY 1990,STATE 1990,MSA NAME 1990,FIPS 2000,MSA Code 2000,County 2000,MSA Name 2000,FIPS 2010,CBSA 2010,County 2010,CBSA Name 2010,CBSA State 2010,Metro/Micro 2010,1970 Pop,1980 Pop,1990 Pop,2000 Pop,2010 Pop,1970 Emp,1980 Emp,1990 Emp,2000 Emp,2010 Emp
3185,8039,NA,Colorado,Elbert,8039,NA,Elbert,Colorado,NA,8039,9999,Elbert,Colorado,NA,8039,9999,Elbert CO,,8039,19740,Elbert CO,Denver-Aurora-Lakewood, CO,Metro,3924,6904,9752,20060,23095,1474,2174,3228,7588,7935
3186,8041,1720,Colorado,El Paso,8041,1720,El Paso,Colorado,COLORADO SPRINGS COLO.,8041,1720,El Paso,Colorado,Colorado Springs CO MSA,8041,1720,El Paso CO,Colorado Springs,8041,17820,El Paso CO,Colorado Springs, CO,Metro,238149,312043,397491,519938,626916,115291,167390,231262,334810,360867
3187,8043,NA,Colorado,Fremont,8043,NA,Fremont,Colorado,NA,8043,9999,Fremont,Colorado,NA,8043,9999,Fremont CO,,8043,15860,Fremont CO,Caձon City, CO,Micro,22122,28804,32254,46245,46857,6970,10412,12533,19317,19369
3188,8045,NA,Colorado,Garfield,8045,NA,Garfield,Colorado,NA,8045,9999,Garfield,Colorado,NA,8045,9999,Garfield CO,,8045,24060,Garfield CO,Glenwood Springs, CO,Micro,14963,23023,30379,44257,56094,6055,12220,18107,29292,36791
3189,8047,NA,Colorado,Gilpin,8047,2080,Gilpin,Colorado,DENVER-BOULDER COLO.,8047,9999,Gilpin,Colorado,NA,8047,9999,Gilpin CO,,8047,19740,Gilpin CO,Denver-Aurora-Lakewood, CO,Metro,1298,2462,3078,4783,5461,296,516,683,5920,6521
3190,8049,NA,Colorado,Grand,8049,NA,Grand,Colorado,NA,8049,9999,Grand,Colorado,NA,8049,9999,Grand CO,,8049, ,Grand CO, , ,,4227,7528,8041,12496,14783,1866,4912,6307,9861,10285
3191,8051,NA,Colorado,Gunnison,8051,NA,Gunnison,Colorado,NA,8051,9999,Gunnison,Colorado,NA,8051,9999,Gunnison CO,,8051, ,Gunnison CO, , ,,7705,10713,10340,14068,15379,2712,6334,6965,11306,12107
3192,8053,NA,Colorado,Hinsdale,8053,NA,Hinsdale,Colorado,NA,8053,9999,Hinsdale,Colorado,NA,8053,9999,Hinsdale CO,,8053, ,Hinsdale CO, , ,,202,414,468,791,844,98,173,312,619,592
3193,8055,NA,Colorado,Huerfano,8055,NA,Huerfano,Colorado,NA,8055,9999,Huerfano,Colorado,NA,8055,9999,Huerfano CO,,8055, ,Huerfano CO, , ,,6534,6445,5997,7771,6668,1978,2243,2215,3581,3322
3194,8057,NA,Colorado,Jackson,8057,NA,Jackson,Colorado,NA,8057,9999,Jackson,Colorado,NA,8057,9999,Jackson CO,,8057, ,Jackson CO, , ,,1849,1862,1593,1577,1385,726,1088,1082,1054,1010
3195,8059,2080,Colorado,Jefferson,8059,2080,Jefferson,Colorado,DENVER-BOULDER COLO.,8059,2082,Jefferson,Colorado,Denver--Boulder CO CMSA,8059,2082,Jefferson CO,Denver-Boulder-Greeley,8059,19740,Jefferson CO*,Denver-Aurora-Lakewood, CO,Metro,237786,374525,440014,527997,535625,71361,160444,223036,282301,305385
3196,8061,NA,Colorado,Kiowa,8061,NA,Kiowa,Colorado,NA,8061,9999,Kiowa,Colorado,NA,8061,9999,Kiowa CO,,8061, ,Kiowa CO, , ,,2024,1944,1676,1610,1396,1265,1099,1064,1151,1205
